,FSU,Schedule,Survey Year,Sector,NSS-region,State,District,Stratum,Sub-stratum,Sub round,FOD sub region,Sample HHID,Level,Filler,HH size,Religion,Social group,Land Own,Monthly HH expenses A,Impute Home grown B,Wages in Kind C,HH durable spent D,Usual monthly expenses - ABCD,Cooking energy,lighting energy,Washing clothes,Sweeping floor,Dwelling structure,Care giver,NSC,Multiplier
787,TUS21269,106,2019,2,11,1,7,02,01,4,0110,14,3,0,2,1,9,2,20000,500,0,0,20500,2,1,3,3,3,2,004,0000044943
788,TUS21317,106,2019,2,11,1,21,01,01,3,0110,01,3,0,5,1,9,4,20000,2000,0,0,22000,2,1,1,2,3,2,004,0000040436
789,TUS21317,106,2019,2,11,1,21,01,01,3,0110,02,3,0,4,1,9,1,10000,0,0,0,10000,2,1,2,2,3,2,004,0000040436
790,TUS21317,106,2019,2,11,1,21,01,01,3,0110,03,3,0,4,1,9,2,10000,1000,0,0,11000,1,1,2,2,3,2,004,0000040436
791,TUS21317,106,2019,2,11,1,21,01,01,3,0110,04,3,0,4,1,2,1,6000,0,0,0,6000,2,1,2,2,2,2,004,0000040436
792,TUS21317,106,2019,2,11,1,21,01,01,3,0110,05,3,0,5,1,9,1,12000,0,0,0,12000,2,1,2,2,3,2,004,0000040436
793,TUS21317,106,2019,2,11,1,21,01,01,3,0110,06,3,0,5,1,2,3,6000,1500,500,0,8000,1,1,2,2,3,2,004,0000040436
794,TUS21317,106,2019,2,11,1,21,01,01,3,0110,07,3,0,2,1,9,4,4000,2000,0,0,6000,1,1,2,2,3,2,004,0000040436
795,TUS21317,106,2019,2,11,1,21,01,01,3,0110,08,3,0,5,1,2,1,7000,0,0,0,7000,1,1,2,2,2,2,004,0000040436
796,TUS21317,106,2019,2,11,1,21,01,01,3,0110,09,3,0,3,1,2,2,5000,0,0,0,5000,2,1,2,2,2,2,004,0000040436
797,TUS21317,106,2019,2,11,1,21,01,01,3,0110,10,3,0,4,1,2,3,10000,1000,100,0,11100,2,1,2,2,3,2,004,0000040436
798,TUS21317,106,2019,2,11,1,21,01,01,3,0110,11,3,0,3,1,2,1,15000,0,0,0,15000,2,1,1,2,3,2,004,0000040436
799,TUS21317,106,2019,2,11,1,21,01,01,3,0110,12,3,0,1,1,9,1,6000,0,0,0,6000,2,1,2,2,3,0,004,0000040436
800,TUS21317,106,2019,2,11,1,21,01,01,3,0110,13,3,0,5,1,9,5,15000,4000,1000,0,20000,2,1,1,2,3,2,004,0000040436
801,TUS21317,106,2019,2,11,1,21,01,01,3,0110,14,3,0,1,1,9,2,10000,500,0,0,10500,2,1,2,2,3,0,004,0000040436
802,TUS21430,106,2019,2,11,1,7,02,01,3,0110,01,3,0,6,1,3,2,20000,0,0,0,20000,2,1,1,2,3,1,004,0000037714
803,TUS21430,106,2019,2,11,1,7,02,01,3,0110,02,3,0,1,1,3,1,4000,0,0,0,4000,2,1,2,2,2,0,004,0000037714
804,TUS21430,106,2019,2,11,1,7,02,01,3,0110,03,3,0,4,1,9,3,20000,0,0,0,20000,2,1,1,2,3,2,004,0000037714
805,TUS21430,106,2019,2,11,1,7,02,01,3,0110,04,3,0,7,1,2,2,18000,0,0,0,18000,2,1,1,2,3,2,004,0000037714
806,TUS21430,106,2019,2,11,1,7,02,01,3,0110,05,3,0,5,1,9,3,10000,0,0,0,10000,2,1,1,2,3,2,004,0000037714
807,TUS21430,106,2019,2,11,1,7,02,01,3,0110,06,3,0,6,1,2,3,5000,0,0,0,5000,2,1,2,2,3,2,004,0000037714
808,TUS21430,106,2019,2,11,1,7,02,01,3,0110,07,3,0,4,1,2,4,25000,0,0,0,25000,2,1,1,2,3,2,004,0000037714
809,TUS21430,106,2019,2,11,1,7,02,01,3,0110,08,3,0,4,1,2,2,20000,0,0,0,20000,2,1,1,2,3,2,004,0000037714
810,TUS21430,106,2019,2,11,1,7,02,01,3,0110,09,3,0,5,1,2,3,10000,0,0,0,10000,2,1,1,2,3,2,004,0000037714
811,TUS21430,106,2019,2,11,1,7,02,01,3,0110,10,3,0,6,1,3,2,15000,0,0,0,15000,2,1,2,2,3,2,004,0000037714
812,TUS21430,106,2019,2,11,1,7,02,01,3,0110,11,3,0,6,1,2,1,7000,0,0,0,7000,1,1,2,2,3,2,004,0000037714
813,TUS21430,106,2019,2,11,1,7,02,01,3,0110,12,3,0,3,1,2,1,10000,0,0,0,10000,2,1,2,2,3,2,004,0000037714
814,TUS21430,106,2019,2,11,1,7,02,01,3,0110,13,3,0,3,1,2,1,15000,0,0,0,15000,2,1,2,2,3,2,004,0000037714
815,TUS21430,106,2019,2,11,1,7,02,01,3,0110,14,3,0,8,1,2,2,15000,0,0,0,15000,1,1,2,2,3,2,004,0000037714
816,TUS21469,106,2019,2,13,1,8,02,01,3,0122,01,3,0,5,2,9,3,25000,500,0,6000,26000,2,1,1,2,3,0,003,0000055505
817,TUS21469,106,2019,2,13,1,8,02,01,3,0122,02,3,0,7,2,9,6,14500,350,200,2500,15258,2,1,2,2,3,0,003,0000055505
818,TUS21469,106,2019,2,13,1,8,02,01,3,0122,03,3,0,2,2,9,5,19300,500,0,2600,20017,2,1,2,2,3,0,003,0000055505
819,TUS21469,106,2019,2,13,1,8,02,01,3,0122,04,3,0,3,2,9,6,19500,800,0,2800,20533,2,1,2,2,3,0,003,0000055505
820,TUS21469,106,2019,2,13,1,8,02,01,3,0122,05,3,0,7,2,9,5,12500,300,0,22000,14633,2,1,2,1,3,0,003,0000055505
821,TUS21469,106,2019,2,13,1,8,02,01,3,0122,06,3,0,6,2,9,5,14300,400,300,2000,15167,2,1,2,2,3,0,003,0000055505
822,TUS21469,106,2019,2,13,1,8,02,01,3,0122,07,3,0,5,2,9,3,20000,400,0,4000,20733,2,1,2,2,3,0,003,0000055505
