,FSU,Sector,State,NSS-region,District,Stratum,Sub-stratum,Sample HHID,PersonID,Serial no of Activity,Time from,Time to,Multi-activity,Simul-activity,Major-activity,Activity code,Where,Paid-unpaid,Type of enterprise,NSC
51000,20124,2,01,011,07,02,01,03,002,001,04:00,05:30,2,0,1,911,1,01,0,000
51001,20124,2,01,011,07,02,01,03,002,002,05:30,06:00,2,0,1,931,1,01,0,000
51002,20124,2,01,011,07,02,01,03,002,003,06:00,07:00,2,0,1,311,1,03,0,000
51003,20124,2,01,011,07,02,01,03,002,004,07:00,08:00,1,2,1,312,1,03,0,000
51004,20124,2,01,011,07,02,01,03,002,005,07:00,08:00,0,0,2,921,1,01,0,000
51005,20124,2,01,011,07,02,01,03,002,006,08:00,09:00,2,0,1,841,1,01,0,000
51006,20124,2,01,011,07,02,01,03,002,007,09:00,11:00,1,1,1,850,1,01,0,000
51007,20124,2,01,011,07,02,01,03,002,008,09:00,11:00,0,0,2,842,1,01,0,000
51008,20124,2,01,011,07,02,01,03,002,009,11:00,13:00,2,0,1,322,1,03,0,000
51009,20124,2,01,011,07,02,01,03,002,010,13:00,14:00,1,2,1,311,1,03,0,000
51010,20124,2,01,011,07,02,01,03,002,011,13:00,14:00,0,0,2,921,1,01,0,000
51011,20124,2,01,011,07,02,01,03,002,012,14:00,15:00,2,0,1,850,1,01,0,000
51012,20124,2,01,011,07,02,01,03,002,013,15:00,17:00,2,0,1,912,1,01,0,000
51013,20124,2,01,011,07,02,01,03,002,014,17:00,17:30,1,2,1,311,1,03,0,000
51014,20124,2,01,011,07,02,01,03,002,015,17:00,17:30,0,0,2,922,1,01,0,000
51015,20124,2,01,011,07,02,01,03,002,016,17:30,19:00,2,0,1,311,1,03,0,000
51016,20124,2,01,011,07,02,01,03,002,017,19:00,20:00,1,1,1,850,1,01,0,000
51017,20124,2,01,011,07,02,01,03,002,018,19:00,20:00,0,0,2,842,1,01,0,000
51018,20124,2,01,011,07,02,01,03,002,019,20:00,21:00,1,1,1,921,1,01,0,000
51019,20124,2,01,011,07,02,01,03,002,020,20:00,21:00,0,0,2,711,1,01,0,000
51020,20124,2,01,011,07,02,01,03,002,021,21:00,22:00,2,0,1,313,1,03,0,000
51021,20124,2,01,011,07,02,01,03,002,022,22:00,04:00,2,0,1,911,1,01,0,000
51022,20124,2,01,011,07,02,01,03,003,001,04:00,06:00,2,0,1,911,1,01,0,000
51023,20124,2,01,011,07,02,01,03,003,002,06:00,07:00,2,0,1,931,1,01,0,000
51024,20124,2,01,011,07,02,01,03,003,003,07:00,08:30,1,1,1,921,1,01,0,000
51025,20124,2,01,011,07,02,01,03,003,004,07:00,08:30,0,0,2,842,1,01,0,000
51026,20124,2,01,011,07,02,01,03,003,005,08:30,10:00,2,0,1,321,1,03,0,000
51027,20124,2,01,011,07,02,01,03,003,006,10:00,11:00,2,0,1,313,1,03,0,000
51028,20124,2,01,011,07,02,01,03,003,007,11:00,12:00,2,0,1,850,1,01,0,000
51029,20124,2,01,011,07,02,01,03,003,008,12:00,13:00,2,0,1,620,1,01,0,000
51030,20124,2,01,011,07,02,01,03,003,009,13:00,14:00,1,2,1,312,1,03,0,000
51031,20124,2,01,011,07,02,01,03,003,010,13:00,14:00,0,0,2,921,1,01,0,000
